date,home_team,score,away_team
29-08-2021,Ath Madrid,2 -- 2,Villarreal
19-09-2021,Mallorca,0 -- 0,Villarreal
22-09-2021,Villarreal,4 -- 1,Elche
25-09-2021,Real Madrid,0 -- 0,Villarreal
03-10-2021,Villarreal,2 -- 0,Betis
17-10-2021,Villarreal,1 -- 2,Osasuna
23-10-2021,Ath Bilbao,2 -- 1,Villarreal
26-10-2021,Villarreal,3 -- 3,Cadiz
30-10-2021,Valencia,2 -- 0,Villarreal
07-11-2021,Villarreal,1 -- 0,Getafe
20-11-2021,Celta,1 -- 1,Villarreal
27-11-2021,Villarreal,1 -- 3,Barcelona
04-12-2021,Sevilla,1 -- 0,Villarreal
12-12-2021,Villarreal,2 -- 0,Vallecano
18-12-2021,Sociedad,1 -- 3,Villarreal
21-12-2021,Villarreal,5 -- 2,Alaves
03-01-2022,Villarreal,5 -- 0,Levante
09-01-2022,Villarreal,2 -- 2,Ath Madrid
16-01-2022,Elche,1 -- 0,Villarreal
22-01-2022,Villarreal,3 -- 0,Mallorca
06-02-2022,Betis,0 -- 2,Villarreal
12-02-2022,Villarreal,0 -- 0,Real Madrid
19-02-2022,Granada,1 -- 4,Villarreal
27-02-2022,Villarreal,5 -- 1,Espanol
05-03-2022,Osasuna,1 -- 0,Villarreal
12-03-2022,Villarreal,1 -- 0,Celta
20-03-2022,Cadiz,1 -- 0,Villarreal
02-04-2022,Levante,2 -- 0,Villarreal
09-04-2022,Villarreal,1 -- 1,Ath Bilbao
16-04-2022,Getafe,1 -- 2,Villarreal
19-04-2022,Villarreal,2 -- 0,Valencia
30-04-2022,Alaves,2 -- 1,Villarreal
08-05-2022,Villarreal,1 -- 1,Sevilla
12-05-2022,Vallecano,1 -- 5,Villarreal
15-05-2022,Villarreal,1 -- 2,Sociedad
22-05-2022,Barcelona,0 -- 2,Villarreal
13-09-2020,Alaves,0 -- 1,Betis
20-09-2020,Granada,2 -- 1,Alaves
26-09-2020,Alaves,0 -- 0,Getafe
30-09-2020,Villarreal,3 -- 1,Alaves
04-10-2020,Alaves,1 -- 0,Ath Bilbao
18-10-2020,Alaves,0 -- 2,Elche
25-10-2020,Valladolid,0 -- 2,Alaves
31-10-2020,Alaves,1 -- 1,Barcelona
08-11-2020,Levante,1 -- 1,Alaves
22-11-2020,Alaves,2 -- 2,Valencia
28-11-2020,Real Madrid,1 -- 2,Alaves
06-12-2020,Alaves,0 -- 0,Sociedad
12-12-2020,Huesca,1 -- 0,Alaves
20-12-2020,Celta,2 -- 0,Alaves
23-12-2020,Alaves,2 -- 1,Eibar
31-12-2020,Osasuna,1 -- 1,Alaves
03-01-2021,Alaves,1 -- 2,Ath Madrid
10-01-2021,Cadiz,3 -- 1,Alaves
19-01-2021,Alaves,1 -- 2,Sevilla
23-01-2021,Alaves,1 -- 4,Real Madrid
31-01-2021,Getafe,0 -- 0,Alaves
05-02-2021,Alaves,1 -- 0,Valladolid
13-02-2021,Barcelona,5 -- 1,Alaves
21-02-2021,Sociedad,4 -- 0,Alaves
27-02-2021,Alaves,0 -- 1,Osasuna
08-03-2021,Betis,3 -- 2,Alaves
13-03-2021,Alaves,1 -- 1,Cadiz
21-03-2021,Ath Madrid,1 -- 0,Alaves
04-04-2021,Alaves,1 -- 3,Celta
10-04-2021,Ath Bilbao,0 -- 0,Alaves
18-04-2021,Alaves,1 -- 0,Huesca
21-04-2021,Alaves,2 -- 1,Villarreal
24-04-2021,Valencia,1 -- 1,Alaves
01-05-2021,Eibar,3 -- 0,Alaves
08-05-2021,Alaves,2 -- 2,Levante
11-05-2021,Elche,0 -- 2,Alaves
16-05-2021,Alaves,4 -- 2,Granada
23-05-2021,Sevilla,1 -- 0,Alaves
12-09-2020,Granada,2 -- 0,Ath Bilbao
27-09-2020,Eibar,1 -- 2,Ath Bilbao
01-10-2020,Ath Bilbao,0 -- 1,Cadiz
04-10-2020,Alaves,1 -- 0,Ath Bilbao
18-10-2020,Ath Bilbao,2 -- 0,Levante
24-10-2020,Osasuna,1 -- 0,Ath Bilbao
31-10-2020,Ath Bilbao,2 -- 1,Sevilla
08-11-2020,Valladolid,2 -- 1,Ath Bilbao
23-11-2020,Ath Bilbao,4 -- 0,Betis
29-11-2020,Getafe,1 -- 1,Ath Bilbao
04-12-2020,Ath Bilbao,0 -- 2,Celta
12-12-2020,Valencia,2 -- 2,Ath Bilbao
15-12-2020,Real Madrid,3 -- 1,Ath Bilbao
18-12-2020,Ath Bilbao,2 -- 0,Huesca
22-12-2020,Villarreal,1 -- 1,Ath Bilbao
31-12-2020,Ath Bilbao,0 -- 1,Sociedad
03-01-2021,Ath Bilbao,1 -- 0,Elche
06-01-2021,Ath Bilbao,2 -- 3,Barcelona
25-01-2021,Ath Bilbao,5 -- 1,Getafe
31-01-2021,Barcelona,2 -- 1,Ath Bilbao
07-02-2021,Ath Bilbao,1 -- 1,Valencia
15-02-2021,Cadiz,0 -- 4,Ath Bilbao
21-02-2021,Ath Bilbao,1 -- 1,Villarreal
26-02-2021,Levante,1 -- 1,Ath Bilbao
07-03-2021,Ath Bilbao,2 -- 1,Granada
10-03-2021,Ath Madrid,2 -- 1,Ath Bilbao
14-03-2021,Celta,0 -- 0,Ath Bilbao
20-03-2021,Ath Bilbao,1 -- 1,Eibar
07-04-2021,Sociedad,1 -- 1,Ath Bilbao
10-04-2021,Ath Bilbao,0 -- 0,Alaves
21-04-2021,Betis,0 -- 0,Ath Bilbao
25-04-2021,Ath Bilbao,2 -- 1,Ath Madrid
28-04-2021,Ath Bilbao,2 -- 2,Valladolid
03-05-2021,Sevilla,0 -- 1,Ath Bilbao
08-05-2021,Ath Bilbao,2 -- 2,Osasuna
12-05-2021,Huesca,1 -- 0,Ath Bilbao
16-05-2021,Ath Bilbao,0 -- 1,Real Madrid
22-05-2021,Elche,2 -- 0,Ath Bilbao
27-09-2020,Ath Madrid,6 -- 1,Granada
30-09-2020,Huesca,0 -- 0,Ath Madrid
03-10-2020,Ath Madrid,0 -- 0,Villarreal
17-10-2020,Celta,0 -- 2,Ath Madrid
24-10-2020,Ath Madrid,2 -- 0,Betis
31-10-2020,Osasuna,1 -- 3,Ath Madrid
07-11-2020,Ath Madrid,4 -- 0,Cadiz
21-11-2020,Ath Madrid,1 -- 0,Barcelona
28-11-2020,Valencia,0 -- 1,Ath Madrid
05-12-2020,Ath Madrid,2 -- 0,Valladolid
12-12-2020,Real Madrid,2 -- 0,Ath Madrid
19-12-2020,Ath Madrid,3 -- 1,Elche
22-12-2020,Sociedad,0 -- 2,Ath Madrid
30-12-2020,Ath Madrid,1 -- 0,Getafe
03-01-2021,Alaves,1 -- 2,Ath Madrid
12-01-2021,Ath Madrid,2 -- 0,Sevilla
21-01-2021,Eibar,1 -- 2,Ath Madrid
24-01-2021,Ath Madrid,3 -- 1,Valencia
31-01-2021,Cadiz,2 -- 4,Ath Madrid
08-02-2021,Ath Madrid,2 -- 2,Celta
13-02-2021,Granada,1 -- 2,Ath Madrid
17-02-2021,Levante,1 -- 1,Ath Madrid
20-02-2021,Ath Madrid,0 -- 2,Levante
28-02-2021,Villarreal,0 -- 2,Ath Madrid
07-03-2021,Ath Madrid,1 -- 1,Real Madrid
10-03-2021,Ath Madrid,2 -- 1,Ath Bilbao
13-03-2021,Getafe,0 -- 0,Ath Madrid
21-03-2021,Ath Madrid,1 -- 0,Alaves
04-04-2021,Sevilla,1 -- 0,Ath Madrid
11-04-2021,Betis,1 -- 1,Ath Madrid
18-04-2021,Ath Madrid,5 -- 0,Eibar
22-04-2021,Ath Madrid,2 -- 0,Huesca
25-04-2021,Ath Bilbao,2 -- 1,Ath Madrid
01-05-2021,Elche,0 -- 1,Ath Madrid
08-05-2021,Barcelona,0 -- 0,Ath Madrid
12-05-2021,Ath Madrid,2 -- 1,Sociedad
16-05-2021,Ath Madrid,2 -- 1,Osasuna
22-05-2021,Valladolid,1 -- 2,Ath Madrid
27-09-2020,Barcelona,4 -- 0,Villarreal
01-10-2020,Celta,0 -- 3,Barcelona
04-10-2020,Barcelona,1 -- 1,Sevilla
17-10-2020,Getafe,1 -- 0,Barcelona
24-10-2020,Barcelona,1 -- 3,Real Madrid
31-10-2020,Alaves,1 -- 1,Barcelona
07-11-2020,Barcelona,5 -- 2,Betis
21-11-2020,Ath Madrid,1 -- 0,Barcelona
29-11-2020,Barcelona,4 -- 0,Osasuna
05-12-2020,Cadiz,2 -- 1,Barcelona
13-12-2020,Barcelona,1 -- 0,Levante
16-12-2020,Barcelona,2 -- 1,Sociedad
19-12-2020,Barcelona,2 -- 2,Valencia
22-12-2020,Valladolid,0 -- 3,Barcelona
29-12-2020,Barcelona,1 -- 1,Eibar
03-01-2021,Huesca,0 -- 1,Barcelona
06-01-2021,Ath Bilbao,2 -- 3,Barcelona
09-01-2021,Granada,0 -- 4,Barcelona
24-01-2021,Elche,0 -- 2,Barcelona
31-01-2021,Barcelona,2 -- 1,Ath Bilbao
07-02-2021,Betis,2 -- 3,Barcelona
13-02-2021,Barcelona,5 -- 1,Alaves
21-02-2021,Barcelona,1 -- 1,Cadiz
24-02-2021,Barcelona,3 -- 0,Elche
27-02-2021,Sevilla,0 -- 2,Barcelona
06-03-2021,Osasuna,0 -- 2,Barcelona
15-03-2021,Barcelona,4 -- 1,Huesca
21-03-2021,Sociedad,1 -- 6,Barcelona
05-04-2021,Barcelona,1 -- 0,Valladolid
10-04-2021,Real Madrid,2 -- 1,Barcelona
22-04-2021,Barcelona,5 -- 2,Getafe
25-04-2021,Villarreal,1 -- 2,Barcelona
29-04-2021,Barcelona,1 -- 2,Granada
02-05-2021,Valencia,2 -- 3,Barcelona
08-05-2021,Barcelona,0 -- 0,Ath Madrid
11-05-2021,Levante,3 -- 3,Barcelona
16-05-2021,Barcelona,1 -- 2,Celta
22-05-2021,Eibar,0 -- 1,Barcelona
13-09-2020,Alaves,0 -- 1,Betis
20-09-2020,Betis,2 -- 0,Valladolid
26-09-2020,Betis,2 -- 3,Real Madrid
29-09-2020,Getafe,3 -- 0,Betis
03-10-2020,Valencia,0 -- 2,Betis
18-10-2020,Betis,0 -- 3,Sociedad
24-10-2020,Ath Madrid,2 -- 0,Betis
01-11-2020,Betis,3 -- 1,Elche
07-11-2020,Barcelona,5 -- 2,Betis
23-11-2020,Ath Bilbao,4 -- 0,Betis
30-11-2020,Betis,0 -- 2,Eibar
06-12-2020,Osasuna,0 -- 2,Betis
13-12-2020,Betis,1 -- 1,Villarreal
20-12-2020,Granada,2 -- 0,Betis
23-12-2020,Betis,1 -- 0,Cadiz
29-12-2020,Levante,4 -- 3,Betis
02-01-2021,Betis,1 -- 1,Sevilla
11-01-2021,Huesca,0 -- 2,Betis
20-01-2021,Betis,2 -- 1,Celta
23-01-2021,Sociedad,2 -- 2,Betis
01-02-2021,Betis,1 -- 0,Osasuna
07-02-2021,Betis,2 -- 3,Barcelona
14-02-2021,Villarreal,1 -- 2,Betis
19-02-2021,Betis,1 -- 0,Getafe
28-02-2021,Cadiz,0 -- 1,Betis
08-03-2021,Betis,3 -- 2,Alaves
14-03-2021,Sevilla,1 -- 0,Betis
19-03-2021,Betis,2 -- 0,Levante
04-04-2021,Elche,1 -- 1,Betis
11-04-2021,Betis,1 -- 1,Ath Madrid
18-04-2021,Betis,2 -- 2,Valencia
21-04-2021,Betis,0 -- 0,Ath Bilbao
24-04-2021,Real Madrid,0 -- 0,Betis
02-05-2021,Valladolid,1 -- 1,Betis
10-05-2021,Betis,2 -- 1,Granada
13-05-2021,Eibar,1 -- 1,Betis
16-05-2021,Betis,1 -- 0,Huesca
22-05-2021,Celta,2 -- 3,Betis
12-09-2020,Cadiz,0 -- 2,Osasuna
20-09-2020,Huesca,0 -- 2,Cadiz
27-09-2020,Cadiz,1 -- 3,Sevilla
01-10-2020,Ath Bilbao,0 -- 1,Cadiz
04-10-2020,Cadiz,1 -- 1,Granada
17-10-2020,Real Madrid,0 -- 1,Cadiz
25-10-2020,Cadiz,0 -- 0,Villarreal
30-10-2020,Eibar,0 -- 2,Cadiz
07-11-2020,Ath Madrid,4 -- 0,Cadiz
22-11-2020,Cadiz,0 -- 1,Sociedad
28-11-2020,Elche,1 -- 1,Cadiz
05-12-2020,Cadiz,2 -- 1,Barcelona
14-12-2020,Celta,4 -- 0,Cadiz
20-12-2020,Cadiz,0 -- 2,Getafe
23-12-2020,Betis,1 -- 0,Cadiz
29-12-2020,Cadiz,0 -- 0,Valladolid
04-01-2021,Valencia,1 -- 1,Cadiz
10-01-2021,Cadiz,3 -- 1,Alaves
19-01-2021,Cadiz,2 -- 2,Levante
23-01-2021,Sevilla,3 -- 0,Cadiz
31-01-2021,Cadiz,2 -- 4,Ath Madrid
07-02-2021,Sociedad,4 -- 1,Cadiz
15-02-2021,Cadiz,0 -- 4,Ath Bilbao
21-02-2021,Barcelona,1 -- 1,Cadiz
28-02-2021,Cadiz,0 -- 1,Betis
06-03-2021,Cadiz,1 -- 0,Eibar
13-03-2021,Alaves,1 -- 1,Cadiz
21-03-2021,Villarreal,2 -- 1,Cadiz
04-04-2021,Cadiz,2 -- 1,Valencia
10-04-2021,Getafe,0 -- 1,Cadiz
18-04-2021,Cadiz,0 -- 0,Celta
21-04-2021,Cadiz,0 -- 3,Real Madrid
24-04-2021,Valladolid,1 -- 1,Cadiz
02-05-2021,Granada,0 -- 1,Cadiz
08-05-2021,Cadiz,2 -- 1,Huesca
11-05-2021,Osasuna,3 -- 2,Cadiz
16-05-2021,Cadiz,1 -- 3,Elche
21-05-2021,Levante,2 -- 2,Cadiz
12-09-2020,Eibar,0 -- 0,Celta
19-09-2020,Celta,2 -- 1,Valencia
27-09-2020,Valladolid,1 -- 1,Celta
01-10-2020,Celta,0 -- 3,Barcelona
04-10-2020,Osasuna,2 -- 0,Celta
17-10-2020,Celta,0 -- 2,Ath Madrid
26-10-2020,Levante,1 -- 1,Celta
01-11-2020,Celta,1 -- 4,Sociedad
06-11-2020,Elche,1 -- 1,Celta
21-11-2020,Sevilla,4 -- 2,Celta
29-11-2020,Celta,3 -- 1,Granada
04-12-2020,Ath Bilbao,0 -- 2,Celta
14-12-2020,Celta,4 -- 0,Cadiz
20-12-2020,Celta,2 -- 0,Alaves
23-12-2020,Getafe,1 -- 1,Celta
30-12-2020,Celta,2 -- 1,Huesca
02-01-2021,Real Madrid,2 -- 0,Celta
08-01-2021,Celta,0 -- 4,Villarreal
20-01-2021,Betis,2 -- 1,Celta
24-01-2021,Celta,1 -- 1,Eibar
31-01-2021,Granada,0 -- 0,Celta
08-02-2021,Ath Madrid,2 -- 2,Celta
12-02-2021,Celta,3 -- 1,Elche
20-02-2021,Valencia,2 -- 0,Celta
28-02-2021,Celta,1 -- 1,Valladolid
07-03-2021,Huesca,3 -- 4,Celta
14-03-2021,Celta,0 -- 0,Ath Bilbao
20-03-2021,Celta,1 -- 3,Real Madrid
04-04-2021,Alaves,1 -- 3,Celta
12-04-2021,Celta,3 -- 4,Sevilla
18-04-2021,Cadiz,0 -- 0,Celta
22-04-2021,Sociedad,2 -- 1,Celta
25-04-2021,Celta,2 -- 1,Osasuna
30-04-2021,Celta,2 -- 0,Levante
09-05-2021,Villarreal,2 -- 4,Celta
12-05-2021,Celta,1 -- 0,Getafe
16-05-2021,Barcelona,1 -- 2,Celta
22-05-2021,Celta,2 -- 3,Betis
12-09-2020,Eibar,0 -- 0,Celta
19-09-2020,Villarreal,2 -- 1,Eibar
27-09-2020,Eibar,1 -- 2,Ath Bilbao
30-09-2020,Eibar,0 -- 1,Elche
03-10-2020,Valladolid,1 -- 2,Eibar
18-10-2020,Eibar,0 -- 0,Osasuna
24-10-2020,Sevilla,0 -- 1,Eibar
30-10-2020,Eibar,0 -- 2,Cadiz
07-11-2020,Huesca,1 -- 1,Eibar
22-11-2020,Eibar,0 -- 0,Getafe
30-11-2020,Betis,0 -- 2,Eibar
07-12-2020,Eibar,0 -- 0,Valencia
13-12-2020,Sociedad,1 -- 1,Eibar
20-12-2020,Eibar,1 -- 3,Real Madrid
23-12-2020,Alaves,2 -- 1,Eibar
29-12-2020,Barcelona,1 -- 1,Eibar
03-01-2021,Eibar,2 -- 0,Granada
10-01-2021,Levante,2 -- 1,Eibar
21-01-2021,Eibar,1 -- 2,Ath Madrid
24-01-2021,Celta,1 -- 1,Eibar
30-01-2021,Eibar,0 -- 2,Sevilla
07-02-2021,Osasuna,2 -- 1,Eibar
13-02-2021,Eibar,1 -- 1,Valladolid
20-02-2021,Elche,1 -- 0,Eibar
27-02-2021,Eibar,1 -- 1,Huesca
06-03-2021,Cadiz,1 -- 0,Eibar
14-03-2021,Eibar,1 -- 3,Villarreal
20-03-2021,Ath Bilbao,1 -- 1,Eibar
03-04-2021,Real Madrid,2 -- 0,Eibar
10-04-2021,Eibar,0 -- 1,Levante
18-04-2021,Ath Madrid,5 -- 0,Eibar
22-04-2021,Granada,4 -- 1,Eibar
26-04-2021,Eibar,0 -- 1,Sociedad
01-05-2021,Eibar,3 -- 0,Alaves
09-05-2021,Getafe,0 -- 1,Eibar
13-05-2021,Eibar,1 -- 1,Betis
16-05-2021,Valencia,4 -- 1,Eibar
22-05-2021,Eibar,0 -- 1,Barcelona
26-09-2020,Elche,0 -- 3,Sociedad
30-09-2020,Eibar,0 -- 1,Elche
03-10-2020,Elche,0 -- 0,Huesca
18-10-2020,Alaves,0 -- 2,Elche
23-10-2020,Elche,2 -- 1,Valencia
01-11-2020,Betis,3 -- 1,Elche
06-11-2020,Elche,1 -- 1,Celta
21-11-2020,Levante,1 -- 1,Elche
28-11-2020,Elche,1 -- 1,Cadiz
06-12-2020,Villarreal,0 -- 0,Elche
13-12-2020,Elche,0 -- 1,Granada
19-12-2020,Ath Madrid,3 -- 1,Elche
22-12-2020,Elche,2 -- 2,Osasuna
30-12-2020,Elche,1 -- 1,Real Madrid
03-01-2021,Ath Bilbao,1 -- 0,Elche
11-01-2021,Elche,1 -- 3,Getafe
19-01-2021,Valladolid,2 -- 2,Elche
24-01-2021,Elche,0 -- 2,Barcelona
30-01-2021,Valencia,1 -- 0,Elche
06-02-2021,Elche,2 -- 2,Villarreal
12-02-2021,Celta,3 -- 1,Elche
20-02-2021,Elche,1 -- 0,Eibar
24-02-2021,Barcelona,3 -- 0,Elche
28-02-2021,Granada,2 -- 1,Elche
06-03-2021,Elche,2 -- 1,Sevilla
13-03-2021,Real Madrid,2 -- 1,Elche
17-03-2021,Sevilla,2 -- 0,Elche
21-03-2021,Getafe,1 -- 1,Elche
04-04-2021,Elche,1 -- 1,Betis
09-04-2021,Huesca,3 -- 1,Elche
18-04-2021,Osasuna,2 -- 0,Elche
21-04-2021,Elche,1 -- 1,Valladolid
24-04-2021,Elche,1 -- 0,Levante
01-05-2021,Elche,0 -- 1,Ath Madrid
07-05-2021,Sociedad,2 -- 0,Elche
11-05-2021,Elche,0 -- 2,Alaves
16-05-2021,Cadiz,1 -- 3,Elche
22-05-2021,Elche,2 -- 0,Ath Bilbao
19-09-2020,Getafe,1 -- 0,Osasuna
26-09-2020,Alaves,0 -- 0,Getafe
29-09-2020,Getafe,3 -- 0,Betis
03-10-2020,Sociedad,3 -- 0,Getafe
17-10-2020,Getafe,1 -- 0,Barcelona
25-10-2020,Getafe,0 -- 1,Granada
01-11-2020,Valencia,2 -- 2,Getafe
08-11-2020,Getafe,1 -- 3,Villarreal
22-11-2020,Eibar,0 -- 0,Getafe
29-11-2020,Getafe,1 -- 1,Ath Bilbao
05-12-2020,Levante,3 -- 0,Getafe
12-12-2020,Getafe,0 -- 1,Sevilla
20-12-2020,Cadiz,0 -- 2,Getafe
23-12-2020,Getafe,1 -- 1,Celta
30-12-2020,Ath Madrid,1 -- 0,Getafe
02-01-2021,Getafe,0 -- 1,Valladolid
11-01-2021,Elche,1 -- 3,Getafe
20-01-2021,Getafe,1 -- 0,Huesca
25-01-2021,Ath Bilbao,5 -- 1,Getafe
31-01-2021,Getafe,0 -- 0,Alaves
06-02-2021,Sevilla,3 -- 0,Getafe
09-02-2021,Real Madrid,2 -- 0,Getafe
14-02-2021,Getafe,0 -- 1,Sociedad
19-02-2021,Betis,1 -- 0,Getafe
27-02-2021,Getafe,3 -- 0,Valencia
06-03-2021,Valladolid,2 -- 1,Getafe
13-03-2021,Getafe,0 -- 0,Ath Madrid
21-03-2021,Getafe,1 -- 1,Elche
03-04-2021,Osasuna,0 -- 0,Getafe
10-04-2021,Getafe,0 -- 1,Cadiz
18-04-2021,Getafe,0 -- 0,Real Madrid
22-04-2021,Barcelona,5 -- 2,Getafe
25-04-2021,Huesca,0 -- 2,Getafe
02-05-2021,Villarreal,1 -- 0,Getafe
09-05-2021,Getafe,0 -- 1,Eibar
12-05-2021,Celta,1 -- 0,Getafe
16-05-2021,Getafe,2 -- 1,Levante
23-05-2021,Granada,0 -- 0,Getafe
12-09-2020,Granada,2 -- 0,Ath Bilbao
20-09-2020,Granada,2 -- 1,Alaves
27-09-2020,Ath Madrid,6 -- 1,Granada
04-10-2020,Cadiz,1 -- 1,Granada
17-10-2020,Granada,1 -- 0,Sevilla
25-10-2020,Getafe,0 -- 1,Granada
01-11-2020,Granada,1 -- 1,Levante
08-11-2020,Sociedad,2 -- 0,Granada
22-11-2020,Granada,1 -- 3,Valladolid
29-11-2020,Celta,3 -- 1,Granada
06-12-2020,Granada,3 -- 3,Huesca
13-12-2020,Elche,0 -- 1,Granada
20-12-2020,Granada,2 -- 0,Betis
23-12-2020,Real Madrid,2 -- 0,Granada
30-12-2020,Granada,2 -- 1,Valencia
03-01-2021,Eibar,2 -- 0,Granada
09-01-2021,Granada,0 -- 4,Barcelona
12-01-2021,Granada,2 -- 0,Osasuna
20-01-2021,Villarreal,2 -- 2,Granada
24-01-2021,Osasuna,3 -- 1,Granada
31-01-2021,Granada,0 -- 0,Celta
06-02-2021,Levante,2 -- 2,Granada
13-02-2021,Granada,1 -- 2,Ath Madrid
21-02-2021,Huesca,3 -- 2,Granada
28-02-2021,Granada,2 -- 1,Elche
07-03-2021,Ath Bilbao,2 -- 1,Granada
14-03-2021,Granada,1 -- 0,Sociedad
21-03-2021,Valencia,2 -- 1,Granada
03-04-2021,Granada,0 -- 3,Villarreal
11-04-2021,Valladolid,1 -- 2,Granada
22-04-2021,Granada,4 -- 1,Eibar
25-04-2021,Sevilla,2 -- 1,Granada
29-04-2021,Barcelona,1 -- 2,Granada
02-05-2021,Granada,0 -- 1,Cadiz
10-05-2021,Betis,2 -- 1,Granada
13-05-2021,Granada,1 -- 4,Real Madrid
16-05-2021,Alaves,4 -- 2,Granada
23-05-2021,Granada,0 -- 0,Getafe
13-09-2020,Villarreal,1 -- 1,Huesca
20-09-2020,Huesca,0 -- 2,Cadiz
26-09-2020,Valencia,1 -- 1,Huesca
30-09-2020,Huesca,0 -- 0,Ath Madrid
03-10-2020,Elche,0 -- 0,Huesca
18-10-2020,Huesca,2 -- 2,Valladolid
25-10-2020,Sociedad,4 -- 1,Huesca
31-10-2020,Real Madrid,4 -- 1,Huesca
07-11-2020,Huesca,1 -- 1,Eibar
20-11-2020,Osasuna,1 -- 1,Huesca
28-11-2020,Huesca,0 -- 1,Sevilla
06-12-2020,Granada,3 -- 3,Huesca
12-12-2020,Huesca,1 -- 0,Alaves
18-12-2020,Ath Bilbao,2 -- 0,Huesca
22-12-2020,Huesca,1 -- 1,Levante
30-12-2020,Celta,2 -- 1,Huesca
03-01-2021,Huesca,0 -- 1,Barcelona
11-01-2021,Huesca,0 -- 2,Betis
20-01-2021,Getafe,1 -- 0,Huesca
23-01-2021,Huesca,0 -- 0,Villarreal
29-01-2021,Valladolid,1 -- 3,Huesca
06-02-2021,Huesca,1 -- 2,Real Madrid
13-02-2021,Sevilla,1 -- 0,Huesca
21-02-2021,Huesca,3 -- 2,Granada
27-02-2021,Eibar,1 -- 1,Huesca
07-03-2021,Huesca,3 -- 4,Celta
15-03-2021,Barcelona,4 -- 1,Huesca
20-03-2021,Huesca,0 -- 0,Osasuna
02-04-2021,Levante,0 -- 2,Huesca
09-04-2021,Huesca,3 -- 1,Elche
18-04-2021,Alaves,1 -- 0,Huesca
22-04-2021,Ath Madrid,2 -- 0,Huesca
25-04-2021,Huesca,0 -- 2,Getafe
01-05-2021,Huesca,1 -- 0,Sociedad
08-05-2021,Cadiz,2 -- 1,Huesca
12-05-2021,Huesca,1 -- 0,Ath Bilbao
16-05-2021,Betis,1 -- 0,Huesca
22-05-2021,Huesca,0 -- 0,Valencia
13-09-2020,Valencia,4 -- 2,Levante
27-09-2020,Osasuna,1 -- 3,Levante
01-10-2020,Sevilla,1 -- 0,Levante
04-10-2020,Levante,0 -- 2,Real Madrid
18-10-2020,Ath Bilbao,2 -- 0,Levante
26-10-2020,Levante,1 -- 1,Celta
01-11-2020,Granada,1 -- 1,Levante
08-11-2020,Levante,1 -- 1,Alaves
21-11-2020,Levante,1 -- 1,Elche
27-11-2020,Valladolid,1 -- 1,Levante
05-12-2020,Levante,3 -- 0,Getafe
13-12-2020,Barcelona,1 -- 0,Levante
19-12-2020,Levante,2 -- 1,Sociedad
22-12-2020,Huesca,1 -- 1,Levante
29-12-2020,Levante,4 -- 3,Betis
02-01-2021,Villarreal,2 -- 1,Levante
10-01-2021,Levante,2 -- 1,Eibar
19-01-2021,Cadiz,2 -- 2,Levante
22-01-2021,Levante,2 -- 2,Valladolid
30-01-2021,Real Madrid,1 -- 2,Levante
06-02-2021,Levante,2 -- 2,Granada
14-02-2021,Levante,0 -- 1,Osasuna
17-02-2021,Levante,1 -- 1,Ath Madrid
20-02-2021,Ath Madrid,0 -- 2,Levante
26-02-2021,Levante,1 -- 1,Ath Bilbao
07-03-2021,Sociedad,1 -- 0,Levante
12-03-2021,Levante,1 -- 0,Valencia
19-03-2021,Betis,2 -- 0,Levante
02-04-2021,Levante,0 -- 2,Huesca
10-04-2021,Eibar,0 -- 1,Levante
18-04-2021,Levante,1 -- 5,Villarreal
21-04-2021,Levante,0 -- 1,Sevilla
24-04-2021,Elche,1 -- 0,Levante
30-04-2021,Celta,2 -- 0,Levante
08-05-2021,Alaves,2 -- 2,Levante
11-05-2021,Levante,3 -- 3,Barcelona
16-05-2021,Getafe,2 -- 1,Levante
21-05-2021,Levante,2 -- 2,Cadiz
12-09-2020,Cadiz,0 -- 2,Osasuna
19-09-2020,Getafe,1 -- 0,Osasuna
27-09-2020,Osasuna,1 -- 3,Levante
04-10-2020,Osasuna,2 -- 0,Celta
18-10-2020,Eibar,0 -- 0,Osasuna
24-10-2020,Osasuna,1 -- 0,Ath Bilbao
31-10-2020,Osasuna,1 -- 3,Ath Madrid
07-11-2020,Sevilla,1 -- 0,Osasuna
20-11-2020,Osasuna,1 -- 1,Huesca
29-11-2020,Barcelona,4 -- 0,Osasuna
06-12-2020,Osasuna,0 -- 2,Betis
11-12-2020,Valladolid,3 -- 2,Osasuna
19-12-2020,Osasuna,1 -- 3,Villarreal
22-12-2020,Elche,2 -- 2,Osasuna
31-12-2020,Osasuna,1 -- 1,Alaves
03-01-2021,Sociedad,1 -- 1,Osasuna
09-01-2021,Osasuna,0 -- 0,Real Madrid
12-01-2021,Granada,2 -- 0,Osasuna
21-01-2021,Valencia,1 -- 1,Osasuna
24-01-2021,Osasuna,3 -- 1,Granada
01-02-2021,Betis,1 -- 0,Osasuna
07-02-2021,Osasuna,2 -- 1,Eibar
14-02-2021,Levante,0 -- 1,Osasuna
22-02-2021,Osasuna,0 -- 2,Sevilla
27-02-2021,Alaves,0 -- 1,Osasuna
06-03-2021,Osasuna,0 -- 2,Barcelona
13-03-2021,Osasuna,0 -- 0,Valladolid
20-03-2021,Huesca,0 -- 0,Osasuna
03-04-2021,Osasuna,0 -- 0,Getafe
11-04-2021,Villarreal,1 -- 2,Osasuna
